service_id,exception_type,date
10,1,20240721
10,1,20240817
10,1,20240818
101,2,20240806
105,1,20240816
105,1,20240819
105,1,20240820
106,2,20240727
106,2,20240728
110,1,20240812
115,1,20240726
115,1,20240816
115,2,20240727
115,2,20240808
119,1,20240806
119,1,20240807
120,1,20240721
120,1,20240722
120,1,20240806
120,1,20240807
122,1,20240721
123,1,20240722
124,2,20240724
124,2,20240815
126,2,20240806
126,2,20240812
126,2,20240815
126,2,20240816
126,2,20240817
128,1,20240816
13,1,20240726
13,1,20240802
13,1,20240812
13,1,20240813
13,1,20240814
13,1,20240818
130,2,20240729
131,2,20240729
131,2,20240730
131,2,20240731
132,1,20240801
132,2,20240810
133,1,20240803
133,1,20240805
133,1,20240806
133,1,20240807
133,1,20240808
134,1,20240804
135,1,20240802
135,1,20240812
135,1,20240813
135,1,20240814
135,1,20240815
135,1,20240818
137,1,20240801
137,1,20240802
139,1,20240726
139,1,20240816
141,2,20240801
142,1,20240810
142,1,20240811
143,1,20240725
143,1,20240803
143,1,20240804
143,1,20240805
143,1,20240806
143,1,20240807
143,1,20240808
145,1,20240725
145,1,20240726
145,2,20240803
145,2,20240806
145,2,20240807
146,2,20240729
146,2,20240730
146,2,20240731
146,2,20240801
146,2,20240802
148,2,20240817
148,2,20240818
149,1,20240731
150,1,20240811
150,1,20240818
150,2,20240725
150,2,20240803
153,1,20240816
153,1,20240817
153,1,20240818
153,1,20240819
153,1,20240820
156,1,20240726
159,2,20240723
159,2,20240724
16,2,20240730
16,2,20240731
164,1,20240813
164,1,20240814
165,1,20240816
165,1,20240819
165,1,20240820
166,1,20240722
166,1,20240723
167,1,20240721
167,1,20240801
168,1,20240804
17,1,20240802
17,1,20240816
17,2,20240803
17,2,20240804
170,1,20240731
171,1,20240808
175,2,20240815
175,2,20240816
177,1,20240809
177,1,20240810
177,1,20240811
177,1,20240812
179,1,20240809
179,1,20240816
184,2,20240816
184,2,20240817
184,2,20240818
185,1,20240731
185,1,20240811
189,2,20240818
191,1,20240808
192,1,20240820
196,1,20240729
200,1,20240818
206,2,20240727
206,2,20240728
209,2,20240725
209,2,20240726
209,2,20240805
21,1,20240807
212,2,20240801
213,1,20240809
213,2,20240814
22,1,20240726
22,1,20240812
224,1,20240724
224,1,20240725
224,1,20240726
224,1,20240802
224,1,20240812
224,1,20240813
224,1,20240818
225,1,20240816
226,2,20240801
230,2,20240728
231,1,20240801
233,2,20240723
239,2,20240729
239,2,20240815
240,1,20240810
240,2,20240801
242,2,20240805
246,2,20240731
247,2,20240804
25,1,20240729
25,1,20240802
250,1,20240721
250,1,20240803
259,1,20240727
260,2,20240812
260,2,20240815
261,2,20240802
262,1,20240721
262,1,20240817
263,2,20240804
267,1,20240807
269,2,20240729
269,2,20240731
269,2,20240801
272,2,20240729
274,1,20240802
28,1,20240727
28,2,20240804
280,2,20240802
280,2,20240803
281,1,20240730
286,2,20240815
287,1,20240819
287,1,20240820
290,1,20240721
293,1,20240725
298,1,20240812
300,1,20240815
302,1,20240813
304,2,20240815
304,2,20240817
304,2,20240818
307,2,20240731
31,2,20240722
31,2,20240723
31,2,20240724
31,2,20240803
311,1,20240805
317,2,20240731
317,2,20240801
317,2,20240810
318,2,20240803
318,2,20240804
319,1,20240731
319,2,20240805
320,2,20240729
320,2,20240731
320,2,20240803
320,2,20240805
321,2,20240729
321,2,20240730
321,2,20240731
321,2,20240802
322,2,20240729
322,2,20240730
322,2,20240731
323,1,20240817
326,1,20240810
328,1,20240730
329,1,20240807
329,1,20240810
33,2,20240803
33,2,20240815
331,2,20240810
334,1,20240812
336,1,20240727
336,1,20240810
336,2,20240729
336,2,20240731
336,2,20240805
336,2,20240818
337,1,20240815
337,1,20240816
337,1,20240819
337,1,20240820
338,1,20240802
338,1,20240813
338,1,20240814
34,1,20240802
